AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,Unnamed: 60,sheet
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,Yes,No,,TBD,TBD,,,,,,24.0,,Category: Condensate Pump / Pump Sched Info,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,TBD,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,Yes,No,,TBD,TBD,,,,,,24.0,,Category: Domestic Water storage tank on roof; tower,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,Yes,No,,TBD,TBD,,,,,,24.0,,Category: Hot Water Circ Pump / Pump Sched Info,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Drinking Fountains (ADA etc),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Hot Water Heater,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Toilet / Water Closet,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Drinking Fountain - Electric,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,TBD,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Mop Sink / Floor Sink,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Gas Meter,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,22-Plumbing,,22,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Hose Bibb,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
